YEAR,Team,GP,Att,Yds,Avg,Yds/G,TD,Big,Fum,FumL,Stuff,Yds
2014,PHI,16,474,1992,4.2,124.5,16,54,10,6,52,-115
2015,PHI,16,442,1743,3.9,108.9,15,47,11,8,48,-146
2016,PHI,16,438,1813,4.1,113.3,16,58,9,4,53,-120
2017,PHI,16,473,2115,4.5,132.2,9,64,11,5,57,-145
2002,PIT,16,512,2120,4.1,132.5,15,64,9,5,54,-141
2003,PIT,16,446,1488,3.3,93,10,34,9,5,52,-137
2004,PIT,16,618,2464,4,154,16,62,6,3,45,-92
2005,PIT,16,549,2223,4,138.9,21,56,12,3,53,-115
2006,PIT,16,469,1992,4.2,124.5,16,50,12,7,41,-112
2007,PIT,16,511,2168,4.2,135.5,9,55,8,3,44,-103
2008,PIT,16,460,1690,3.7,105.6,16,42,5,2,62,-121
2009,PIT,16,428,1793,4.2,112.1,10,47,8,5,40,-86
2010,PIT,16,471,1924,4.1,120.3,15,50,9,4,43,-99
2011,PIT,16,434,1903,4.4,118.9,13,49,5,4,39,-75
2012,PIT,16,412,1537,3.7,96.1,8,45,10,6,42,-100
2013,PIT,16,394,1383,3.5,86.4,9,30,6,3,35,-97
2014,PIT,16,423,1752,4.1,109.5,10,42,7,3,37,-100
2015,PIT,16,388,1724,4.4,107.8,16,47,5,1,38,-82
2016,PIT,16,409,1760,4.3,110,13,51,7,1,26,-73
2017,PIT,16,437,1667,3.8,104.2,12,47,6,2,37,-95
2002,SD,16,466,2137,4.6,133.6,19,69,3,0,47,-90
2003,SD,16,417,2146,5.1,134.1,16,71,9,4,32,-72
2004,SD,16,525,2185,4.2,136.6,24,52,11,4,42,-110
2005,SD,16,465,2072,4.5,129.5,22,48,2,0,38,-73
2006,SD,16,522,2578,4.9,161.1,32,62,8,1,34,-71
2007,SD,16,485,2039,4.2,127.4,19,57,7,5,50,-107
2008,SD,16,421,1726,4.1,107.9,13,37,3,1,34,-58
2009,SD,16,427,1423,3.3,88.9,17,32,2,2,39,-80
2010,SD,16,457,1810,4,113.1,18,45,13,7,34,-62
2011,SD,16,436,1864,4.3,116.5,16,55,8,4,26,-61
2012,SD,16,411,1461,3.6,91.3,4,33,5,2,34,-75
2013,SD,16,486,1965,4,122.8,9,40,5,3,23,-49
2014,SD,16,398,1367,3.4,85.4,6,35,5,0,44,-102
