YEAR,Team,GP,Comp,Att,Pct,Yds,Avg,Yds/G,TD,Int,QBR,Lng
2004,PHI,16,336,547,0.614,3979,7.3,248.7,32,11,96.4,80
2005,PHI,16,337,620,0.544,3677,5.9,229.8,21,20,71.5,91
2006,PHI,16,323,544,0.594,4119,7.6,257.4,31,9,96.7,89
2007,PHI,16,350,577,0.607,3755,6.5,234.7,24,15,84.6,75
2008,PHI,16,362,606,0.597,3911,6.5,244.4,23,16,81.4,90
2009,PHI,16,335,553,0.606,4089,7.4,255.6,27,13,92,71
2010,PHI,16,348,561,0.62,3906,7,244.1,28,13,92.1,91
2011,PHI,16,330,554,0.596,4110,7.4,256.9,22,25,78.3,73
2012,PHI,16,367,618,0.594,3791,6.1,236.9,18,15,78.6,77
2013,PHI,16,310,508,0.61,4110,8.1,256.9,32,9,102.7,70
2014,PHI,16,384,621,0.618,4356,7.4,272.3,27,21,84.8,72
2015,PHI,16,405,623,0.65,4087,7,255.4,23,18,85.6,78
2016,PHI,16,380,609,0.624,3585,6.2,224.1,16,14,79.2,73
2017,PHI,16,341,564,0.605,3737,7,233.6,38,9,97.6,72
2002,PIT,16,350,551,0.635,3832,7,239.5,26,22,84.6,72
2003,PIT,16,306,532,0.575,3304,6.2,206.5,19,17,76.4,81
2004,PIT,16,228,358,0.637,2720,7.6,170,20,13,93.2,58
2005,PIT,16,228,379,0.602,2926,7.7,182.9,21,14,89.4,85
2006,PIT,16,312,523,0.597,3733,7.1,233.3,23,23,80.2,87
2007,PIT,16,282,442,0.638,3071,7,191.9,34,14,99.9,83
2008,PIT,16,303,506,0.599,3301,6.5,206.3,19,15,81.9,65
2009,PIT,16,351,536,0.655,4148,7.7,259.3,28,14,98.1,60
2010,PIT,16,298,479,0.622,3601,7.5,225.1,22,9,95.2,56
2011,PIT,16,341,539,0.633,4054,7.5,253.4,21,15,89.7,95
2012,PIT,16,354,574,0.617,3787,6.6,236.7,27,14,88.1,82
2013,PIT,16,377,586,0.643,4017,6.9,251.1,28,14,92.3,67
2014,PIT,16,411,612,0.672,4825,8.2,301.6,33,10,103.2,94
2015,PIT,16,391,590,0.663,4603,8.2,287.7,26,21,91.2,88
2016,PIT,16,381,596,0.639,4202,7.3,262.6,33,15,93.9,72
2017,PIT,16,384,590,0.651,4380,7.7,273.8,29,15,94.1,97
2002,SD,16,324,538,0.602,3188,5.9,199.3,17,16,76.5,52
2003,SD,16,297,525,0.566,3021,5.8,188.8,21,19,73.1,73
2004,SD,16,288,450,0.64,3357,7.5,209.8,29,8,102,79
2005,SD,16,338,526,0.643,3495,6.6,218.4,27,16,89.7,54
2006,SD,16,287,466,0.616,3262,7,203.9,24,9,93,57
2007,SD,16,281,471,0.597,3005,6.4,187.8,22,16,81.3,49
2008,SD,16,312,478,0.653,3858,8.1,241.1,34,11,105.5,67
2009,SD,16,338,519,0.651,4338,8.4,271.1,29,10,103.1,81
2010,SD,16,359,544,0.66,4519,8.3,282.4,30,13,101.9,59
2011,SD,16,366,582,0.629,4426,7.6,276.6,27,20,88.7,58
2012,SD,16,338,528,0.64,3295,6.2,205.9,26,15,88.5,80
2013,SD,16,378,544,0.695,4328,8,270.5,32,11,105.5,60
2014,SD,16,380,574,0.662,4098,7.5,256.1,31,18,93.4,59
2015,SD,16,442,667,0.663,4591,7.3,286.9,30,13,94.5,80
2016,SD,16,349,580,0.602,4198,7.6,262.4,33,21,87.6,59
2002,SEA,16,361,587,0.615,4078,7,254.9,19,16,83,83
2003,SEA,16,317,521,0.608,3618,6.9,226.1,27,16,88.2,80
2004,SEA,16,304,532,0.571,3539,6.7,221.2,23,18,79.1,60
2005,SEA,16,307,474,0.648,3458,7.3,216.1,25,10,96.8,56
2006,SEA,16,292,512,0.57,3054,6,190.9,26,22,76,72
2007,SEA,16,371,590,0.629,3964,6.7,247.8,30,13,91.8,65
2008,SEA,16,262,474,0.553,2617,5.5,163.6,18,15,72.5,90
2009,SEA,16,372,609,0.611,3503,5.8,218.9,20,19,76.7,53
2010,SEA,16,324,544,0.596,3341,6.1,208.8,14,20,72.1,87
2011,SEA,16,299,509,0.587,3105,6.1,194.1,15,14,77.6,61
2012,SEA,16,259,405,0.64,3031,7.5,189.4,27,10,100.6,67
2013,SEA,16,267,420,0.636,3236,7.7,202.3,27,9,102.4,80
2014,SEA,16,287,454,0.632,3250,7.7,203.1,20,7,95.1,80
2015,SEA,16,333,489,0.681,3790,8.3,236.9,34,8,109.8,80
2016,SEA,16,368,567,0.649,4124,7.8,257.8,23,12,93.4,59
2017,SEA,16,340,555,0.613,3657,7.2,228.6,34,12,94.4,74
2002,SF,16,354,571,0.62,3457,6.1,216.1,23,10,86,76
2003,SF,16,299,511,0.585,3408,6.7,213,25,15,84,75
2004,SF,16,325,561,0.579,3136,5.6,196,16,21,69.9,65
2005,SF,16,204,389,0.524,1898,4.9,118.6,8,21,53.6,89
2006,SF,16,257,444,0.579,2688,6.1,168,16,16,74.4,75
2007,SF,16,274,513,0.534,2320,4.5,145,15,17,64.3,57
2008,SF,16,309,509,0.607,3379,6.6,211.2,21,19,81.4,63
2009,SF,16,312,528,0.591,3052,5.8,190.8,23,14,80.8,73
2010,SF,16,282,500,0.564,3356,6.7,209.8,19,15,79.4,66
2011,SF,16,277,451,0.614,2930,6.5,183.1,18,5,91.4,56
2012,SF,16,289,436,0.663,3298,7.6,206.1,23,8,101.2,57
2013,SF,16,244,417,0.585,2979,7.1,186.2,21,8,91.7,64
2014,SF,16,292,487,0.6,3063,7,191.4,20,10,86.3,80
2015,SF,16,322,526,0.612,3316,6.9,207.3,16,12,82.6,76
2016,SF,16,287,491,0.585,2911,6.4,181.9,21,10,83.4,75
2017,SF,16,362,607,0.596,3925,7,245.3,15,15,78.8,83
2002,STL,16,408,635,0.643,4154,6.5,259.6,24,27,79.9,58
2003,STL,16,377,600,0.628,3961,6.6,247.6,23,23,81,48
2004,STL,16,372,580,0.641,4253,7.3,265.8,23,22,86.1,75
2005,STL,16,392,599,0.654,4036,6.7,252.3,23,24,83,83
2006,STL,16,371,592,0.627,3962,6.7,247.6,24,8,92.7,67
2007,STL,16,333,574,0.58,3233,5.6,202.1,19,28,67,40
2008,STL,16,292,520,0.562,2947,5.7,184.2,11,19,66.9,80
2009,STL,16,312,543,0.575,2686,5,167.9,12,21,64,50
